Account Name,PTB Score,Segment,RVP,AE,City,State,Sub-Sector,Lat,Lon,AE_Layer
630 CHED Santas Anonymous,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
ACCT Foundation,5,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Ag for Life,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alberta Children's Hospital Foundation,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alberta Grains,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alberta Health Services Board,3,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Membership Organizations,53.5462055,-113.491241,Mid-Market
"Alberta Union of Provincial Employees, The",3,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Alberta Urban Athletics Association,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Association of Fundraising Professionals Edmonton & Area Chapter,3,MM,Lisa Crow,Nikki Kandhari,Spruce Grove,AB,Associations and Unions,53.545204,-113.903503,Mid-Market
Boys & Girls Club of Edmonton,5,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Boys and Girls Club Lethbridge,3,MM,Lisa Crow,Karine Duval,Lethbridge,AB,Associations and Unions,49.6945782,-112.8331033,Mid-Market
Business Link,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Canadian Athletic Therapists Association,1,MM,SARAH ANDREWS,Helen Lynch,Calgary,AB,Membership Organizations,51.0456064,-114.057541,
CommunityWise Resource Centre,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
ERA,1,MM,Lisa Crow,Nikki Kandhari,,AB,Associations and Unions,,,Mid-Market
Empowered Futures,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
EndPovertyEdmonton,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Faith Beyond Belief,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Falun Dafa Association of Edmonton,3,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Give A Mile,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Global Calling Services,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Great+Divide+Trail+Association,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Health City Edmonton,1,MM,Lisa Crow,Nikki Kandhari,,AB,Membership Organizations,,,Mid-Market
Help From Canada,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Heritage Crowsnest,1,MM,Lisa Crow,Nikki Kandhari,Coleman,AB,Membership Organizations,49.6377084,-114.4964358,Mid-Market
Islamic social services association,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Made by Momma,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Mahogany Homeowners Association,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Movement51,4,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Neighbourlink Calgary,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
No Ordinary Journey Foundation,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Northside Friends Church Fellowship,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
PROVIDING AVENUES TO HOPE SOCIETY,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Ponoka Ag Event Center Society,1,MM,Lisa Crow,Nikki Kandhari,Ponoka,AB,Associations and Unions,52.6794142,-113.5871706,Mid-Market
Ponoka Ag Event Centre Society,1,MM,Lisa Crow,Nikki Kandhari,Ponoka,AB,Associations and Unions,52.6794142,-113.5871706,Mid-Market
Public Petroleum Data Modeling Association (PPDM),1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
REALTORS Community Foundation,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
RRROCA,1,MM,Lisa Crow,Nikki Kandhari,,AB,Associations and Unions,,,Mid-Market
Realize Your Potential Youth Society,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Red Deer Inline Hockey Association,1,MM,Lisa Crow,Nikki Kandhari,Red Deer,AB,Associations and Unions,52.2690628,-113.8141464,Mid-Market
Ronald McDonald House of Northern Alberta,3,MM,Lisa Crow,Quinn Farrell,Edmonton,AB,Membership Organizations,53.5462055,-113.491241,Mid-Market
S.A.M. Ministries Inc,4,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Southern Alberta Community Living Association,1,MM,Lisa Crow,Nikki Kandhari,Lethbridge,AB,Membership Organizations,49.6945782,-112.8331033,Mid-Market
Sport Medicine Council of Alberta,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Membership Organizations,53.5462055,-113.491241,Mid-Market
Sustainable Food Edmonton,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
The Sheet Metal Contractors Association of Alberta,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
The YYC Data Society,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Transformaton Textiles,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
Trellis Society for Community Impact,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Tribe of Lambs Organization,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Trickster Theatre Society,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Trinity Place Foundation of Alberta,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Veterans Services Society,3,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
WBEA,1,MM,Lisa Crow,Nikki Kandhari,Fort Mcmurray,AB,Associations and Unions,56.7291997,-111.3885221,Mid-Market
Western Rocky View Communities Development Society,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Associations and Unions,51.0456064,-114.057541,Mid-Market
Young Leaders World Foundation,1,MM,Lisa Crow,Nikki Kandhari,Edmonton,AB,Associations and Unions,53.5462055,-113.491241,Mid-Market
the deenSTRONG Foundation,1,MM,Lisa Crow,Nikki Kandhari,Calgary,AB,Membership Organizations,51.0456064,-114.057541,Mid-Market
Alaska Council of School Administrators,5,MM,Bryan Rees,Colleen Gainey,Juneau,AK,Membership Organizations,58.3019496,-134.419734,Mid-Market
Alaska Island Community Services,1,MM,Bryan Rees,Colleen Gainey,Wrangell,AK,Membership Organizations,56.4706022,-132.3829431,Mid-Market
Association for the Education of Young Children,1,ESB,Mark Baxter,Mel Sanchez,Juneau,AK,Associations and Unions,58.3019496,-134.419734,Small Business
Camp Fire Alaska,2,MM,Bryan Rees,Colleen Gainey,Anchorage,AK,Membership Organizations,61.2163129,-149.894852,Mid-Market
Choices Inc,1,GRB,Salma Ferdowsi,Kayla DeSouza,Anchorage,AK,Associations and Unions,61.2163129,-149.894852,Small Business
Girl Scouts of Alaska,1,ENTR,Tricia Lane,William Hranchak,Anchorage,AK,Membership Organizations,61.2163129,-149.894852,Enterprise
SOUTH PENINSULA BEHAVIORAL HEALTH SERVICES INC,1,GRB,Salma Ferdowsi,Kayla DeSouza,Homer,AK,Associations and Unions,59.6454064,-151.5445643,Small Business
AHERO,1,ESB,Myron Bryant,Damian Broomes,Shorter,AL,Associations and Unions,32.3948615,-85.916902,Small Business
AMERICAN SOCIETY FOR REPRODUCTIVE MEDICINE,5,GRB,Cisco Torres,Kelly Quarles,Vestavia,AL,Associations and Unions,33.4487989,-86.7879492,Small Business
Alabama Veteran,5,ESB,Myron Bryant,Damian Broomes,Birmingham,AL,Associations and Unions,33.5206824,-86.8024326,Small Business
"Boy Scouts Troop 400 Huntsville, Alabama",1,GRB,Cisco Torres,Kelly Quarles,Huntsville,AL,Membership Organizations,34.729847,-86.5859011,Small Business
Boy Scouts of America-Alabama-Florida Council,1,GRB,Cisco Torres,Kelly Quarles,Dothan,AL,Membership Organizations,31.2237285,-85.3934375,Small Business
"Camp Fire Usa, Central Alabama Council",3,ESB,Myron Bryant,Damian Broomes,Birmingham,AL,Membership Organizations,33.5206824,-86.8024326,Small Business
Civil Air Patrol,3,MM,Bryan Rees,Taylor Hernandez,Maxwell Afb,AL,Membership Organizations,32.3818479,-86.3533076,Mid-Market
Common Ground Montgomery,3,GRB,Cisco Torres,Kelly Quarles,Montgomery,AL,Membership Organizations,32.37742,-86.3091683,Small Business
Community Action Partnership of North Alabama,1,MM,Bryan Rees,Taylor Hernandez,Decatur,AL,Associations and Unions,34.6060203,-86.9838165,Mid-Market
Dauphin Way Child Developmentcenter Inc,3,GRB,Cisco Torres,Kelly Quarles,Mobile,AL,Associations and Unions,30.6913462,-88.0437509,Small Business
"Girl Scouts Of North-Central Alabama, Inc.",1,ENTR,Tricia Lane,William Hranchak,Birmingham,AL,Membership Organizations,33.5206824,-86.8024326,Enterprise
HUNTSVILLE SOCCER CLUB INC,3,GRB,Cisco Torres,Kelly Quarles,Huntsville,AL,Membership Organizations,34.729847,-86.5859011,Small Business
Leadership Lee County,1,ESB,Myron Bryant,Damian Broomes,Auburn,AL,Associations and Unions,32.6098566,-85.4807825,Small Business
"Lexington Composite Squadron, Civil Air Patrol",3,MM,Bryan Rees,Taylor Hernandez,Maxwell Afb,AL,Membership Organizations,32.3818479,-86.3533076,Mid-Market
Liberty Learning Foundation,2,ESB,Myron Bryant,Damian Broomes,Huntsville,AL,Membership Organizations,34.729847,-86.5859011,Small Business
Magic Moments,1,ESB,Myron Bryant,Damian Broomes,Birmingham,AL,Membership Organizations,33.5206824,-86.8024326,Small Business
Nations of Coaches,1,ESB,Myron Bryant,Damian Broomes,Decatur,AL,Membership Organizations,34.6060203,-86.9838165,Small Business
North AlabamaWorks! (Non-Profit),1,ESB,Myron Bryant,Damian Broomes,Guntersville,AL,Associations and Unions,34.3581474,-86.2947041,Small Business
Southern Medical Association,1,GRB,Cisco Torres,Kelly Quarles,Birmingham,AL,Associations and Unions,33.5206824,-86.8024326,Small Business
Team USA Badminton,5,GRB,Cisco Torres,Kelly Quarles,Haleyville,AL,Associations and Unions,34.226488,-87.6214133,Small Business
Team USA Shooting,3,ENTR,Justin Simon,Velma Hutchins,Haleyville,AL,Membership Organizations,34.226488,-87.6214133,Enterprise
United Farmers Agents Association,3,ESB,Myron Bryant,Damian Broomes,Birmingham,AL,Membership Organizations,33.5206824,-86.8024326,Small Business
YWCA Central Alabama,3,ENTR,Justin Simon,Mitchell Rabin,Birmingham,AL,Associations and Unions,33.5206824,-86.8024326,Enterprise
ACMA,4,GRB,Cisco Torres,Jennifer Hicks,Little Rock,AR,Associations and Unions,34.7465071,-92.2896267,Small Business
Alice L Walton Foundation,2,ENTR,Justin Raisor,Melissa Richard,Little Rock,AR,Associations and Unions,34.7465071,-92.2896267,Enterprise
Arkansas Regional Innovation Hub,1,MM,Michael Shroff,Evan Bagley,North Little Rock,AR,Associations and Unions,34.769536,-92.2670941,Mid-Market
Camp Aldersgate (non profit),3,GRB,Cisco Torres,Jennifer Hicks,Little Rock,AR,Associations and Unions,34.7465071,-92.2896267,Small Business
Delta Delta Delta,1,GRB,Salma Ferdowsi,James Coburn,Little Rock,AR,Associations and Unions,34.7465071,-92.2896267,Small Business
Faulkner County Rescue Squad,4,,Michael Shroff,Evan Bagley,Conway,AR,Membership Organizations,35.0891932,-92.4398402,Mid-Market
GIRL SCOUTS - DIAMONDS OF ARKANSAS OKLAHOMA AND TEXAS,1,ENTR,Tricia Lane,William Hranchak,Little Rock,AR,Membership Organizations,34.7465071,-92.2896267,Enterprise
Ozark Outdoor Foundation,1,ENTR,Justin Raisor,Melissa Richard,Bentonville,AR,Associations and Unions,36.3728538,-94.2088172,Enterprise
Pure Charity,1,ESB,Myron Bryant,Bria Jenkins Blair,Bentonville,AR,Membership Organizations,36.3728538,-94.2088172,Small Business
Rmhc of Arkoma Inc,1,GRB,Cisco Torres,Jennifer Hicks,Springdale,AR,Membership Organizations,36.1867442,-94.1288142,Small Business
The Mayfly Project,1,ESB,Myron Bryant,Bria Jenkins Blair,Benton,AR,Membership Organizations,36.3456186,-94.2670404,Small Business
Wal-Mart Associates in Critical Need Fund,1,GRB,Cisco Torres,Jennifer Hicks,Bentonville,AR,Membership Organizations,36.3728538,-94.2088172,Small Business
Youth Golf of Northwest Arkansas,1,GRB,Cisco Torres,Jennifer Hicks,Lowell,AR,Membership Organizations,36.2553543,-94.1307587,Small Business
ARIZONA CHAPTER OF THE AMERICAN ACADEMY OF PEDIATRICS,3,ENTR,Justin Raisor,Emily Lagnado,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Enterprise
Amanda Hope Rainbow Angels,2,ESB,Mark Baxter,Mel Sanchez,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Small Business
Arizona Center For Youth Resources,3,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Small Business
Arizona Humane Society,5,,Michael Shroff,Evan Bagley,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Mid-Market
Arizona Serve,1,MM,Michael Shroff,Evan Bagley,Tucson,AZ,Membership Organizations,32.2228765,-110.974847,Mid-Market
Arizona Small Business Association,3,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Small Business
Arizona Technology Council,3,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
Association of Arizona Food Banks Inc,1,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
"Black Mothers Forums, Inc.",1,MM,Michael Shroff,Evan Bagley,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Mid-Market
"Boys to Men Mentoring Network North Central Arizona, Inc.",1,ESB,Mark Baxter,Mel Sanchez,Prescott,AZ,Membership Organizations,34.539984,-112.468812,Small Business
COPPERSTATE Fly-In Inc,1,MM,Michael Shroff,Evan Bagley,Queen Creek,AZ,Associations and Unions,33.2483858,-111.634158,Mid-Market
Catholic Community Foundation,1,ESB,Mark Baxter,Mel Sanchez,Tempe,AZ,Membership Organizations,33.4255117,-111.940016,Small Business
"Coconino County Sheriff's Office Search and Rescue Flagstaff Unit, Inc.",4,,Michael Shroff,Evan Bagley,Flagstaff,AZ,Associations and Unions,35.1987522,-111.651822,Mid-Market
Divercities Border Region,1,GRB,Salma Ferdowsi,Kayla DeSouza,Tucson,AZ,Membership Organizations,32.2228765,-110.974847,Small Business
EXPERIENCE MATTERS CONSORTIUM INC,3,ESB,Mark Baxter,Mel Sanchez,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
Elevate Phoenix,3,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Small Business
Esperanca,4,ESB,Mark Baxter,Mel Sanchez,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Small Business
"Feeding Matters, Inc",1,ESB,Mark Baxter,Mel Sanchez,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
Fresh Start Women's Foundation,5,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
"Fresh Start Women's Foundation, An Arizona Nonprofit Corporation",1,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
Future for Kids,1,ESB,Mark Baxter,Mel Sanchez,Tempe,AZ,Membership Organizations,33.4255117,-111.940016,Small Business
GIRL SCOUTS OF SOUTHERN ARIZONA,1,ENTR,Tricia Lane,William Hranchak,Tucson,AZ,Membership Organizations,32.2228765,-110.974847,Enterprise
"Girl ScoutsâArizona Cactus-Pine Council, Inc.",1,ENTR,Tricia Lane,William Hranchak,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Enterprise
"Grand Canyon Council, Inc. Boy Scouts Of America",3,GRB,Salma Ferdowsi,Kayla DeSouza,Scottsdale,AZ,Membership Organizations,33.4942189,-111.926018,Small Business
Gray Matters Foundation,1,ESB,Mark Baxter,Mel Sanchez,Cave Creek,AZ,Membership Organizations,33.8333333,-111.950833,Small Business
Homeless Youth Connection Inc,1,ESB,Mark Baxter,Mel Sanchez,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Small Business
Humanitarian Express,1,ESB,Mark Baxter,Mel Sanchez,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
JUNIOR ACHIEVEMENT OF ARIZONA,3,ENTR,Justin Simon,Velma Hutchins,Tempe,AZ,Membership Organizations,33.4255117,-111.940016,Enterprise
Kids at Hope,1,MM,Michael Shroff,Evan Bagley,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Mid-Market
Local First Arizona,3,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
Make-A-Wish Foundation of America,4,ENTR,Justin Simon,Velma Hutchins,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Enterprise
Make-A-Wish International,3,ENTR,Justin Simon,Velma Hutchins,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Enterprise
Make-A-Wish International 2nd instance,3,ENTR,Justin Simon,Velma Hutchins,Phoenix,AZ,Membership Organizations,33.4484367,-112.074141,Enterprise
Movement for Black Lives,4,ESB,Mark Baxter,Mel Sanchez,Tucson,AZ,Associations and Unions,32.2228765,-110.974847,Small Business
"National Law Enforcement Telecommunication System (nlets), Inc.",1,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
National Speaker Association,1,ESB,Mark Baxter,Mel Sanchez,Tempe,AZ,Associations and Unions,33.4255117,-111.940016,Small Business
Outreach360,1,ESB,Mark Baxter,Mel Sanchez,Peoria,AZ,Membership Organizations,33.5806115,-112.237294,Small Business
Professional Beauty Association,3,GRB,Salma Ferdowsi,Kayla DeSouza,Scottsdale,AZ,Membership Organizations,33.4942189,-111.926018,Small Business
RYAN HOUSE,3,GRB,Salma Ferdowsi,Kayla DeSouza,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
Rural Arizona Engagement,1,ESB,Mark Baxter,Mel Sanchez,Coolidge,AZ,Associations and Unions,32.977839,-111.517624,Small Business
"Sun City Grand Community Association, Inc.",1,MM,Michael Shroff,Evan Bagley,Surprise,AZ,Associations and Unions,33.629247,-112.3681428,Mid-Market
Therapeutic Ranch for Animals and Kids (TRAK),1,ESB,Mark Baxter,Mel Sanchez,Tucson,AZ,Membership Organizations,32.2228765,-110.974847,Small Business
Western Regional Examining Board,1,ESB,Mark Baxter,Mel Sanchez,Phoenix,AZ,Associations and Unions,33.4484367,-112.074141,Small Business
Western Resource Advocates,1,GRB,Salma Ferdowsi,Kayla DeSouza,Young,AZ,Associations and Unions,34.106747,-110.9402423,Small Business
World At Work,4,,Michael Shroff,Evan Bagley,Scottsdale,AZ,Associations and Unions,33.4942189,-111.926018,Mid-Market
valley of the moon,1,GRB,Maxwell Byrne,Katherine Morrison,,AZ,Membership Organizations,,,
Alliance of Canadian Land Trust,3,MM,Lisa Crow,Nikki Kandhari,Victoria,BC,Membership Organizations,48.4283182,-123.364953,Mid-Market
Ann Davis Transition Society,1,MM,Lisa Crow,Nikki Kandhari,Chilliwack,BC,Membership Organizations,49.1709788,-121.95255,Mid-Market
Art Gallery of Greater Victoria,1,MM,Lisa Crow,Nikki Kandhari,Victoria,BC,Associations and Unions,48.4283182,-123.364953,Mid-Market
BC Alpine Ski Assocoation,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
BC Hotel Association,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Board for Music Mission Ukraine Canada,1,MM,Lisa Crow,Nikki Kandhari,Abbotsford,BC,Associations and Unions,49.0521162,-122.329479,Mid-Market
British Columbia Law Institute,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
British Columbia Professional Fire Fighters' Burn Fund,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Business Alliance for Local Living Economies BC,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
CMHA Mid-Island Branch,4,MM,Lisa Crow,Nikki Kandhari,Nanaimo,BC,Associations and Unions,49.163877,-123.938122,Mid-Market
CRESTON COMMUNITY AUDITORIUM SOCIETY,1,MM,Lisa Crow,Nikki Kandhari,Creston,BC,Associations and Unions,49.0971526,-116.5129759,Mid-Market
CanHealth International,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Canadian Amateur Sports Society,3,MM,Lisa Crow,Nikki Kandhari,Surrey,BC,Membership Organizations,49.1913033,-122.849143,Mid-Market
Canadian Fallen Hereos,3,MM,Lisa Crow,Nikki Kandhari,Fruitvale,BC,Membership Organizations,49.116667,-117.55,Mid-Market
Central Okanagan Division of Family Practice,1,MM,Lisa Crow,Nikki Kandhari,,BC,Membership Organizations,,,Mid-Market
Central Okanagan Hospice Association,1,MM,Lisa Crow,Nikki Kandhari,Kelowna,BC,Associations and Unions,49.8879177,-119.495902,Mid-Market
Clinton Giustra Sustainable Growth Initiative,3,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Community Arts Council of Vancouver,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Cops For Kids,3,MM,Lisa Crow,Nikki Kandhari,Kelowna,BC,Associations and Unions,49.8879177,-119.495902,Mid-Market
Cowichan Community Land Trust,1,MM,Lisa Crow,Nikki Kandhari,Duncan,BC,Membership Organizations,48.7786872,-123.7080446,Mid-Market
Creating Homefulness Society,1,MM,Lisa Crow,Nikki Kandhari,Victoria,BC,Associations and Unions,48.4283182,-123.364953,Mid-Market
DASHBC,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
David Suzuki Foundation,3,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Membership Organizations,49.2608724,-123.113952,Mid-Market
Developing World Connections,3,MM,Lisa Crow,Nikki Kandhari,Kamloops,BC,Associations and Unions,50.6758269,-120.339415,Mid-Market
Downtown Victoria Business Association,1,MM,Lisa Crow,Nikki Kandhari,Victoria,BC,Membership Organizations,48.4283182,-123.364953,Mid-Market
EducationPlannerBC,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Membership Organizations,49.2608724,-123.113952,Mid-Market
Fairware Promotional Products Ltd.,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Food For Famine Society,1,MM,Lisa Crow,Nikki Kandhari,Langley,BC,Associations and Unions,49.1039289,-122.657047,Mid-Market
ForestEthics Canada,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Forum for Women Entrepreneurs,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Fraser Valley Conservancy,1,MM,Lisa Crow,Nikki Kandhari,Mission,BC,Associations and Unions,49.1589351,-122.283583,Mid-Market
Free Geek Vancouver,3,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Global Agents For Change,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Global Mothers,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Globaltribe,1,MM,Lisa Crow,Nikki Kandhari,Victoria,BC,Associations and Unions,48.4283182,-123.364953,Mid-Market
Green Shores,3,MM,Lisa Crow,Nikki Kandhari,Cobble Hill,BC,Associations and Unions,48.683708,-123.600311,Mid-Market
Heart Mind Purpose,1,MM,Lisa Crow,Nikki Kandhari,Lake Country,BC,Membership Organizations,50.0302364,-119.402331,Mid-Market
Human-Nature Counselling Society,1,MM,Lisa Crow,Nikki Kandhari,Victoria,BC,Membership Organizations,48.4283182,-123.364953,Mid-Market
ICCBC,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Membership Organizations,49.2608724,-123.113952,Mid-Market
Inner Hope Youth Ministries,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
Keats Camps,1,MM,Lisa Crow,Nikki Kandhari,Burnaby,BC,Associations and Unions,49.2433804,-122.972545,Mid-Market
Knowledge Network,1,MM,Lisa Crow,Nikki Kandhari,Burnaby,BC,Associations and Unions,49.2433804,-122.972545,Mid-Market
Kudoz,1,MM,Lisa Crow,Nikki Kandhari,Burnaby,BC,Associations and Unions,49.2433804,-122.972545,Mid-Market
Law Foundation of BC,3,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Membership Organizations,49.2608724,-123.113952,Mid-Market
Legion Veterans Village,1,MM,Lisa Crow,Nikki Kandhari,Surrey,BC,Associations and Unions,49.1913033,-122.849143,Mid-Market
Lift the children,1,MM,Lisa Crow,Nikki Kandhari,Surrey,BC,Membership Organizations,49.1913033,-122.849143,Mid-Market
Menno Place,4,MM,Lisa Crow,Nikki Kandhari,Abbotsford,BC,Associations and Unions,49.0521162,-122.329479,Mid-Market
Michael Smith Foundation for Health Research,1,MM,Lisa Crow,Nikki Kandhari,Vancouver,BC,Associations and Unions,49.2608724,-123.113952,Mid-Market
